domain,logo_url,error
toyota-buchreiter-eisenstadt.at,,"Failed to load page (www fallback also failed): Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.toyota-buchreiter-eisenstadt.at/
Call log:
  - navigating to ""https://www.toyota-buchreiter-eisenstadt.at/"", waiting until ""load""
"
ovb.ro,https://www.ovb.ro/_assets/591954c268d6a7d5bf39e8f45d857458/img/layout/ovb_logo.svg,
wurth-international.com,https://www.wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/svg_logos/logo_wuerth_svg.svg,
plameco-hannover.de,,"Failed to load page (www fallback also failed): Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.plameco-hannover.de/
Call log:
  - navigating to ""https://www.plameco-hannover.de/"", waiting until ""load""
"
mazda-autohaus-hellwig-hoyerswerda.de,https://www.assets.mazda-autohaus.de/assets/img/icon_whatsapp.svg,
autosecuritas-ct-seysses.fr,https://www.autosecuritas.fr/public/img/showcase/autosecuritas-logo.svg,
astrazeneca.ua,https://www.astrazeneca.com/etc/designs/az/img/logo-az-condensed.png,
ebay.cn,https://www.ebay.cn/newcms/style/index/logo.png,
greatplacetowork.com.bo,https://www.greatplacetowork.com.bo/hs-fs/hubfs/logo_certif_BO.png?width=1174&height=2000&name=logo_certif_BO.png,
tupperware.at,http://tupperware-eu.com/cdn/shop/files/TUPPERWARE_SHARING_IMAGE.jpg?v=1744733343,
ibc-solar.jp,,"Failed to load page: Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://ibc-solar.jp/
Call log:
  - navigating to ""https://ibc-solar.jp/"", waiting until ""load""
"
crocs.com.uy,https://www.crocs.com.uy/public/web/img/logo-og.png,
ccusa.co.nz,https://ccusa.co.nz/wp-content/uploads/2023/02/Logo_CCUSA_150-120.jpg,
ymcasteuben.org,https://s3.amazonaws.com/recliquecore/imgs/ymca_logos/ymca_white_with_background.jpg,
nobleprog.mx,https://www.nobleprog.mx/sites/hitrahr/files/client_logos/ebay.png,
stanbicbank.co.zw,https://www.stanbicbank.co.zw/static_file/SBG/Content shared/Image placeholders/zimbabwe/social_media_og_image_landscape.jpg,
engie.co.uk,https://www.engie.co.uk/wp-content/themes/engie/assets/images/dist/engie-logo-blue.svg,
synlab.com.tr,https://medicover.com.tr/theme/img/new-logo-white.svg,
affidea.ba,https://affidea.ba/wp-content/uploads/2021/09/IMG_1938-scaled.jpg,
cafelasmargaritas.es,https://cafelasmargaritas.es/wp-content/uploads/2025/02/lOGO-PARA-ANUNCIO-GOOGLE-500X-500-png.avif,
avis.cr,https://avis.cr/dist/images/logo.svg,
zalando.cz,https://mosaic01.ztat.net/zds/assets/favicon/zalando-app-touch-icon-180-lagom-v2.png,
freseniusmedicalcare.ca,https://www.freseniusmedicalcare.ca/assets/images/logo.png,
spitex-wasseramt.ch,https://www.spitex-wasseramt.ch/img/spitex2014/ch.spitex-wasseramt-2015/logo_de-hc2FB36001.svg,
ebayglobalshipping.com,https://www.ebayglobalshipping.com/themes/custom/custom_barrio/app/images/egs_meta_image_logo.png,
veolia.com.ru,https://oneintranet.veolia.com/serve/AMIfv9561YfOOrv4_J0kg26NbOrVkQGNtcWWXxYyIm6yJtb_SLdjr9p7BOvzzCeicWWohLIwfMhb0HdLHs9Sk4UFi6nzYuzHP-qU1x_nHvnub4x-5bsN_nxy-jm95kE2fFSuGMWvwBDurOT4Mz5swED_Y1ZDUXpVZW2c4WOe0czLRmBqi3_KxM7YX90VJ3BTxcKsKkgQwm1I-hNCUfre3TwCqPUPwjcJChvv1zUMdfWu542uvVYFB3UsbiqvlMIO9rC25_2WQNv8DeBqp3odb_MFresED-wYe-80bZKwERFVZy-yHCK0X44=s1600,
deheus.com.vn,https://www.deheus.com.vn/globalassets/dh_world_food_day.png,
bakertilly.lu,https://bti-global.transforms.svdcdn.com/production/network/luxembourg/images/17-GS-image-1.jpg?w=2880&h=960&auto=compress%2Cformat&fit=crop&dm=1732092776&s=5ef9568cf26745e73a71a6512d972b23,
aamcoconyersga.com,https://www.aamcoconyersga.com/images/logo.png,
julis-sh.de,https://julis-sh.de/wp-content/uploads/2022/06/Logo-Junge-Liberale-768x588.png,
renault-tortosa.es,https://renault-tortosa.es/media/renault-tortosa.es/inicio/730x546/renaulution-days-xl.webp,
baywa-re.es,https://a.storyblok.com/f/274520/320x77/825ef6227a/baywa-re-logo.png,
oil-testing.de,https://oil-testing.de/wp-content/uploads/2019/08/lubricating-oil@2x.png,
europa-union-sachsen-anhalt.de,https://www.europa-union-sachsen-anhalt.de/fileadmin/_processed_/d/d/csm_facebook_1efab468eb.png,
lidl.com.cy,https://www.lidl.com.cy/static/assets/lidl-shop-cyprus-271782.svg,
menschenfuermenschen.at,https://www.menschenfuermenschen.at/upload/image/mfm-web-startseite-hero-element-wasser-sujet-quellfassung-6T0A6094.jpg,
wurthsaudi.com,https://wurthsaudi.com/assets/img/logomob.png,
aamcoseguin.com,https://lirp.cdn-website.com/da901620/dms3rep/multi/opt/AAMCO-1200x1200-1920w.png,
pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/03/Pirtek.png,
allianz.nl,,"Page.evaluate: TypeError: Failed to fetch
    at eval (eval at evaluate (:290:30), <anonymous>:2:40)
    at UtilityScript.evaluate (<anonymous>:297:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
mazda-autohaus-kaschmieder-waren.de,https://www.assets.mazda-autohaus.de/assets/img/dealer-logos/15700.webp,
unicharm.com.br,https://www.unicharm.com.br/content/dam/sites/www_unicharm_com_br/images/common/img-ogp.png,
xella-colloquium.berlin,https://public-assets.envato-static.com/assets/header/EnvatoElements-logo-4f70ffb865370a5fb978e9a1fc5bbedeeecdfceb8d0ebec2186aef4bee5db79d.svg,
bakertilly.es,https://bti-global.transforms.svdcdn.com/production/network/spain/images/Home/baker-tilly-home3.jpg?w=1200&h=630&q=82&auto=format&fit=crop&dm=1707909194&s=05dfa8473f2b93c9442771761861f15d,
berlitz-augsburg.de,https://www.berlitz-augsburg.de/images/berlitz-sprachschule-augsburg-1200w.webp,
bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-helicemotos.com/wp-content/uploads/2025/10/logo-Helice-motos-bmw-2025.png,
intertongn.es,https://intertongn.es/wp-content/uploads/2019/08/audifono.png,
